Fiscal Year,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Inbound/Outbound,Count of Seizure Events,Currency Seizures Amount (USD)
2022,JUL,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,10,157798.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,22,66232.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,1,32983.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,7,13261.0
2022,JUL,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,7,599384.0
2022,JUL,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Other,1,17000.0
2022,JUL,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Inbound,1,278.0
2022,JUL,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Outbound,4,75470.0
2022,JUL,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Other,1,352.0
2022,JUL,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other,3,1130.0
2022,JUL,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,4,37014.0
2022,JUL,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,5,154199.69
2022,JUL,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,5,30443.02
2022,JUL,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,4,134840.0
2022,JUL,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,12,24317.3
2022,JUL,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other,1,6793.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,5,161405.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,4,82973.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,9,349122.8
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,7,122037.77
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,4,185256.84
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,6,260513.06
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,2,19889.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,NEW ORLEANS FIELD OFFICE,Inbound,1,12379.2
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,1,92741.38
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,1,303962.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,8,198918.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,2,25131.5
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Inbound,1,4240.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,1,250.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,2,25363.0
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Inbound,1,1027.61
2022,JUN,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,2,38927.0
2022,JUN,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Inbound,2,23984.16
2022,JUN,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Outbound,5,55176.27
2022,JUN,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,3,106982.0
2022,JUN,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,7,179820.0
2022,JUN,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,1,20187.69
2022,JUN,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,6,99906.26
2022,JUN,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,3,78399.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,12,145220.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,1,13497.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,16,130980.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,10,346350.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,31,29777.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,1,28047.0
2022,JUN,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,6,46110.15
2022,JUN,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,4,16990.0
2022,JUN,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Inbound,3,1379.0
2022,JUN,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Outbound,5,67164.0
2022,JUN,U.S. Border Patrol,Central/Coastal/Other,Other,NEW ORLEANS SECTOR,Other,1,7215.0
2022,JUN,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Other,1,19979.0
2022,JUN,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Other,1,12041.0
2022,JUN,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Other,2,1073331.0
2022,JUN,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Other,1,37144.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,1,100.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,2,3302.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,1,15200.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,10,55954.1
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,2,21706.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,5,8924.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,13,32584.0
2022,JUN,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other,1,35300.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,1,36586.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,2,50230.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,1,15947.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Other,1,16100.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,7,264165.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,7,130542.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,8,149115.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,6,85353.65
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,1,37156.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,5,81933.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,3,59312.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,NEW ORLEANS FIELD OFFICE,Inbound,1,28791.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,5,29053.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,5,203350.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,11,218065.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,3,60916.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,3,55445.02
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,4,56600.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,4,73124.0
2022,MAR,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,2,23784.0
2022,MAR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Outbound,1,5000.0
2022,MAR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Inbound,1,13.0
2022,MAR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,2,44161.0
2022,MAR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,9,218831.0
2022,MAR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,4,46616.0
2022,MAR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,5,89440.0
2022,MAR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,7,212882.0
2022,MAR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,18,126120.0
2022,MAR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,1,15586.0
2022,MAR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,17,118142.55
2022,MAR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Other,1,6000.0
2022,MAR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,13,427216.0
2022,MAR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,29,29505.6
2022,MAR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,7,41301.63
2022,MAR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,2,75841.0
2022,MAR,U.S. Border Patrol,Central/Coastal/Other,Other,MIAMI SECTOR,Other,1,4882.0
2022,MAR,U.S. Border Patrol,Central/Coastal/Other,Other,NEW ORLEANS SECTOR,Other,1,9921.0
2022,MAR,U.S. Border Patrol,Central/Coastal/Other,Other,RAMEY SECTOR,Other,1,349950.0
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,3,19896.77
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,1,40.3
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,9,44647.0
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,2,30334.0
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,2,9118.0
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,1,2642.0
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,5,89785.84
2022,MAR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,22,49276.94
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,1,15271.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Other,1,80000.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,4,95804.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,2,77580.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,1,20913.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,6,98409.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,13,243351.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,6,91553.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,2,86820.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,2,37576.39
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,9,266489.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,NEW ORLEANS FIELD OFFICE,Inbound,2,18400.64
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,1,230.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,1,41958.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,7,181461.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,7,138451.65
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,2,33794.2
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Inbound,4,83460.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,3,95161.0
2022,MAY,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,6,92662.0
2022,MAY,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Inbound,1,33617.0
2022,MAY,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Outbound,1,17972.0
2022,MAY,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,1,20493.0
2022,MAY,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,8,187282.0
2022,MAY,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,4,36854.0
2022,MAY,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,9,329797.0
2022,MAY,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,1,40271.0
2022,MAY,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,16,145073.43
2022,MAY,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,3,60875.5
2022,MAY,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,12,78420.94
2022,MAY,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,12,155424.22
2022,MAY,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,17,25623.34
2022,MAY,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,7,69096.0
2022,MAY,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,8,80037.0
2022,MAY,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Outbound,1,10441.0
2022,MAY,U.S. Border Patrol,Central/Coastal/Other,Other,NEW ORLEANS SECTOR,Other,1,591.0
2022,MAY,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Other,1,72342.0
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,2,16905.0
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,2,26002.26
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,5,46632.16
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,3,7560.0
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,1,3600.0
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,4,15865.25
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,9,63305.52
2022,MAY,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,16,32874.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,2,38288.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,3,194251.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,2,45965.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,6,137347.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,9,177285.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,10,237640.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,1,15655.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,2,41107.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,2,124844.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,10,403819.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,NEW ORLEANS FIELD OFFICE,Inbound,1,10000.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,1,29800.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,1,35450.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,5,112398.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,1,30000.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,1,33007.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Inbound,1,4580.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,3,21940.0
2022,NOV,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,3,52325.0
2022,NOV,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Other,1,1626.0
2022,NOV,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Inbound,1,12137.0
2022,NOV,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,2,32033.0
2022,NOV,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,11,250975.0
2022,NOV,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,4,120524.6
2022,NOV,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,17,305019.0
2022,NOV,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Inbound,1,64158.0
2022,NOV,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,3,47631.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,12,102616.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,1,20246.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,13,59915.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,3,67462.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,16,169304.18
2022,NOV,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,2,343722.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,1,4300.0
2022,NOV,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,4,102786.0
2022,NOV,U.S. Border Patrol,Central/Coastal/Other,Other,NEW ORLEANS SECTOR,Other,1,13800.0
2022,NOV,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Other,1,600.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,2,65.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,2,3490.77
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,3,27124.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,1,1764.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,4,6201.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,1,413.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,8,41603.0
2022,NOV,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other,2,59900.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Inbound,1,21006.99
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,1,34630.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Inbound,3,333492.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Other,1,35365.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,1,31010.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,1,10000.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,4,128293.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,8,142012.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,4,89013.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Outbound,2,86282.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,2,182172.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,3,54526.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Outbound,8,307542.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,2,40427.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,4,257144.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,6,181233.65
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Inbound,1,24500.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,2,11745.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,2,22680.0
2022,OCT,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Inbound,1,28159.0
2022,OCT,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Inbound,1,14000.0
2022,OCT,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Inbound,2,32579.15
2022,OCT,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Outbound,1,15274.0
2022,OCT,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Inbound,1,18714.05
2022,OCT,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,5,133344.0
2022,OCT,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,10,257019.0
2022,OCT,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,5,106296.0
2022,OCT,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,15,282798.56
2022,OCT,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,2,49242.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,21,168808.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,1,10000.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,10,64780.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,10,964905.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,7,14733.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,5,28843.0
2022,OCT,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,2,9609.0
2022,OCT,U.S. Border Patrol,Central/Coastal/Other,Other,MIAMI SECTOR,Other,2,2517.45
2022,OCT,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Other,1,4000.0
2022,OCT,U.S. Border Patrol,Northern Border,Land Only,HAVRE SECTOR,Other,1,10233.0
2022,OCT,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other,1,11000.0
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,3,32097.0
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,1,956.67
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,3,19140.0
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,3,20412.0
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,1,1240.0
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,3,3482.15
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,11,58784.0
2022,OCT,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,9,17973.0
2022,SEP,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,2,112322.0
2022,SEP,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,2,52812.0
2022,SEP,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,3,100205.0
